Event Date,Shift Start,Shift End,Client Name,Venue Name,Position ID,Position Title,Additional Title,Shift Position Description
2026-03-01,2026-03-01 09:30:00,2026-03-01 17:30:00,Indian Wells Tennis Garden,Indian Wells Tennis Gardens | Player Dining,101,Cashier,Cashier # 7,
2026-03-01,2026-03-01 09:30:00,2026-03-01 17:30:00,Indian Wells Tennis Garden,Indian Wells Tennis Gardens | Player Dining,101,Cashier,Cashier #8,
2026-03-01,2026-03-01 09:30:00,2026-03-01 17:30:00,Indian Wells Tennis Garden,Indian Wells Tennis Gardens | Player Dining,101,Cashier,FSA Grab and go # 2,
2026-03-01,2026-03-01 09:30:00,2026-03-01 17:30:00,Indian Wells Tennis Garden,Indian Wells Tennis Gardens | Player Dining,101,Cashier,FSA Attendant # 4,
2026-03-01,2026-03-01 09:30:00,2026-03-01 17:30:00,Indian Wells Tennis Garden,Indian Wells Tennis Gardens | Player Dining,101,Cashier,FSA Attendant # 3,Cashier
2026-03-01,2026-03-01 10:00:00,2026-03-01 18:30:00,Griffin Club Los Angeles,Griffin Club Los Angeles,102,Cook 2,,
2026-03-01,2026-03-01 10:00:00,2026-03-01 18:30:00,Griffin Club Los Angeles,Griffin Club Los Angeles,102,Cook 2,Sushi,
2026-03-01,2026-03-01 10:00:00,2026-03-01 20:30:00,Griffin Club Los Angeles,Griffin Club Los Angeles,102,Cook 2,,Cook 2
2026-03-01,2026-03-01 10:00:00,2026-03-01 18:30:00,The Getty Center,The Getty Center - Catering,102,Cook 2,,Cook 2
2026-03-01,2026-03-01 10:30:00,2026-03-01 19:00:00,Mount Saint Mary's University,Mount Saint Mary's University - Doheny Campus,102,Cook 2,,"- Client will provide aprons
- Client will provide chef coats if employee does not have one
- TOOLS: employee to bring a cut glove, but no knife sets necessary"
2026-03-01,2026-03-01 10:30:00,2026-03-01 16:30:00,VH Property Corp. dba Trump National Golf Club Los Angeles,Trump National Golf Course Los Angeles | Vista Grill,102,Cook 2,,"Tipped Cook for Vista Grill 

Grooming Standards

1. No tattoos on the face or neck, or any place that cannot be covered. 

2. Clean white or black chef coat, black pants, no denim

3. Clean white or black skull cap or ball cap, plain;  no designs, logos, etc. 

4. Short cropped beard, goatee or mustache is acceptable.

5. Black non slip shoes

Staff not adhering to these standards will be sent home."
2026-03-01,2026-03-01 11:00:00,2026-03-01 16:00:00,Academy Museum of Motion Pictures,Academy Museum of Motion Pictures - Fanny's Restaurant,105,Dishwasher,,
